round(Avg(Temp))	ChangeDate
35	2018-10-02 21:51:01.391900
35	2018-10-02 21:52:00.858332
35	2018-10-02 21:53:00.339485
35	2018-10-02 21:54:01.604808
35	2018-10-02 21:55:01.077646
35	2018-10-02 21:56:00.578855
35	2018-10-02 21:57:00.059225
35	2018-10-02 21:58:01.298139
35	2018-10-02 21:59:00.780100
35	2018-10-02 22:00:00.268275
35	2018-10-02 22:01:01.517986
35	2018-10-02 22:02:01.002535
35	2018-10-02 22:03:00.478590
35	2018-10-02 22:04:00.039866
35	2018-10-02 22:05:01.198588
35	2018-10-02 22:06:00.699694
35	2018-10-02 22:07:00.180035
35	2018-10-02 22:08:01.417748
35	2018-10-02 22:09:00.878871
35	2018-10-02 22:10:00.379203
35	2018-10-02 22:11:01.657398
35	2018-10-02 22:12:01.098207
35	2018-10-02 22:13:00.599407
35	2018-10-02 22:14:00.076749
35	2018-10-02 22:15:01.338642
35	2018-10-02 22:16:00.840859
35	2018-10-02 22:17:00.420565
35	2018-10-02 22:18:01.557694
35	2018-10-02 22:19:01.038720
35	2018-10-02 22:20:00.519209
35	2018-10-02 22:21:00.016532
35	2018-10-02 22:22:01.278730
35	2018-10-02 22:23:00.740304
35	2018-10-02 22:24:00.200595
35	2018-10-02 22:25:01.437170
35	2018-10-02 22:26:00.918399
35	2018-10-02 22:27:00.436762
35	2018-10-02 22:28:01.639572
35	2018-10-02 22:29:01.118708
35	2018-10-02 22:30:00.620655
35	2018-10-02 22:31:00.097188
35	2018-10-02 22:32:01.337849
35	2018-10-02 22:33:00.840141
35	2018-10-02 22:34:00.456961
35	2018-10-02 22:35:01.576883
35	2018-10-02 22:36:01.059357
35	2018-10-02 22:37:00.556765
35	2018-10-02 22:38:00.078006
35	2018-10-02 22:39:01.258423
35	2018-10-02 22:40:00.762770
35	2018-10-02 22:41:00.236828
35	2018-10-02 22:42:01.465562
35	2018-10-02 22:43:00.935829
35	2018-10-02 22:44:00.436155
35	2018-10-02 22:45:01.738080
35	2018-10-02 22:46:01.160089
35	2018-10-02 22:47:00.616256
35	2018-10-02 22:48:00.097667
35	2018-10-02 22:49:01.358348
35	2018-10-02 22:50:00.855479
35	2018-10-02 22:51:00.340762
35	2018-10-02 22:52:01.578544
35	2018-10-02 22:53:01.235281
35	2018-10-02 22:54:00.546502
35	2018-10-02 22:55:00.037319
35	2018-10-02 22:56:01.278931
35	2018-10-02 22:57:00.755206
