PHId	PMacid	PName	Abrivation	Current	Voltage	Power	ChangeBy	ChangeDate	PId	UnitId
170846	3C71BF106130	NULL	NULL	55.9	248	466.37	jts_admin	2018-11-29 02:42:00.000000	9	740
170850	3C71BF106130	NULL	NULL	55.6	246	214.86	jts_admin	2018-11-29 02:43:00.000000	9	740
170854	3C71BF106130	NULL	NULL	55.5	247	224.47	jts_admin	2018-11-29 02:44:00.000000	9	740
170861	3C71BF106130	NULL	NULL	55.5	370	684.97	jts_admin	2018-11-29 02:46:00.000000	9	740
170864	3C71BF106130	NULL	NULL	55.2	246	903.99	jts_admin	2018-11-29 02:47:00.000000	9	740
170868	3C71BF106130	NULL	NULL	55.4	246	225.02	jts_admin	2018-11-29 02:48:00.000000	9	740
170870	3C71BF106130	NULL	NULL	56.4	247	436.9	jts_admin	2018-11-29 02:49:00.000000	9	740
170873	3C71BF106130	NULL	NULL	55	243	666.45	jts_admin	2018-11-29 02:50:00.000000	9	740
170877	3C71BF106130	NULL	NULL	54.4	247	217.95	jts_admin	2018-11-29 02:51:00.000000	9	740
170881	3C71BF106130	NULL	NULL	55.5	247	205.82	jts_admin	2018-11-29 02:52:00.000000	9	740
170884	3C71BF106130	NULL	NULL	55	247	198.2	jts_admin	2018-11-29 02:53:00.000000	9	740
170888	3C71BF106130	NULL	NULL	56	247	223	jts_admin	2018-11-29 02:54:00.000000	9	740
170895	3C71BF106130	NULL	NULL	56.6	247	463.79	jts_admin	2018-11-29 02:56:00.000000	9	740
170902	3C71BF106130	NULL	NULL	55.5	246	440.86	jts_admin	2018-11-29 02:58:00.000000	9	740
170906	3C71BF106130	NULL	NULL	54.1	247	221.81	jts_admin	2018-11-29 02:59:00.000000	9	740
170910	3C71BF106130	NULL	NULL	54.7	246	214.65	jts_admin	2018-11-29 03:00:00.000000	9	740
170913	3C71BF106130	NULL	NULL	56.5	247	207.89	jts_admin	2018-11-29 03:01:00.000000	9	740
170918	3C71BF106130	NULL	NULL	55.6	246	439.11	jts_admin	2018-11-29 03:03:00.000000	9	740
170921	3C71BF106130	NULL	NULL	55.1	247	222.86	jts_admin	2018-11-29 03:04:00.000000	9	740
170923	3C71BF106130	NULL	NULL	54.6	250	220.43	jts_admin	2018-11-29 03:05:00.000000	9	740
170925	3C71BF106130	NULL	NULL	55	247	219.95	jts_admin	2018-11-29 03:06:00.000000	9	740
170927	3C71BF106130	NULL	NULL	56.2	247	196.27	jts_admin	2018-11-29 03:07:00.000000	9	740
170929	3C71BF106130	NULL	NULL	54.5	246	226.4	jts_admin	2018-11-29 03:08:00.000000	9	740
170931	3C71BF106130	NULL	NULL	55.7	246	217.71	jts_admin	2018-11-29 03:09:00.000000	9	740
170933	3C71BF106130	NULL	NULL	56	246	209.31	jts_admin	2018-11-29 03:10:00.000000	9	740
170935	3C71BF106130	NULL	NULL	55.9	247	427.49	jts_admin	2018-11-29 03:11:00.000000	9	740
